case_id,machine_id,failure_type,root_cause,evidence,corrective_action,resolution_time,similarity_features
CASE-104,CNC-07,Dimensional Inspection Failure,Tool Wear,Tool T-14 exceeded cycle life (1780 cycles). Power draw increased +19.2% with 3.5 mm/s spindle vibration. Outer diameter expanded +0.38mm.,Immediate replacement of End Mill T-14 and optical tool setter recalibration.,1.5,"{""vib_ratio"": 2.6, ""power_pct_inc"": 19.2, ""cycle_ratio"": 1.18, ""dim_dev"": 0.38, ""temp_c"": 43.5}"
CASE-088,CNC-04,Dimensional Inspection Failure,Tool Wear,"Face Mill T-09 flank wear exceeding 0.4mm. Power consumption spiked +16.8%, dimensional error +0.31mm across bore diameter.","Replaced cutting inserts, adjusted feed rate from 1350 to 1200 mm/min.",2.0,"{""vib_ratio"": 2.3, ""power_pct_inc"": 16.8, ""cycle_ratio"": 1.15, ""dim_dev"": 0.31, ""temp_c"": 41.2}"
CASE-076,CNC-07,Dimensional Out-of-Tolerance,Tool Wear,Tool T-14 cycle count reached 1820. Spindle motor load surged by 21%. Progressive positive dimensional drift over 28 parts.,Replaced tool T-14 and lowered tool replacement warning threshold from 1500 to 1400 cycles.,1.8,"{""vib_ratio"": 2.7, ""power_pct_inc"": 21.0, ""cycle_ratio"": 1.21, ""dim_dev"": 0.41, ""temp_c"": 44.1}"
CASE-052,CNC-03,Surface Roughness & Chattering,Excessive Vibration,Harmonic chatter detected at 3.9 mm/s due to loose hydraulic chuck pressure (8 bar vs 15 bar nominal).,Replaced hydraulic seal on rotary chuck cylinder and tightened fixture clamps.,3.5,"{""vib_ratio"": 3.2, ""power_pct_inc"": 4.5, ""cycle_ratio"": 0.65, ""dim_dev"": 0.18, ""temp_c"": 39.0}"
CASE-041,CNC-02,Dimensional Undersize,Incorrect Feed Rate,"Feed rate override accidentally set to 145% on CNC controller, causing tool deflection.",Locked feed rate override in CNC controller supervisor mode.,0.8,"{""vib_ratio"": 1.8, ""power_pct_inc"": 12.0, ""cycle_ratio"": 0.5, ""dim_dev"": 0.22, ""temp_c"": 40.5}"
CASE-029,CNC-06,Bore Taper Defect,Coolant Temperature Variation,"Coolant chiller compressor trip caused coolant temperature to rise to 34°C, resulting in thermal spindle growth (+25 µm).",Serviced coolant chiller compressor and installed dual redundant temperature sensors.,4.2,"{""vib_ratio"": 1.1, ""power_pct_inc"": 2.0, ""cycle_ratio"": 0.4, ""dim_dev"": 0.28, ""temp_c"": 49.5}"
CASE-007,CNC-03,Quality Non-Conformance,Excessive Vibration,Machine CNC-03: Spindle bearing resonant chatter leading to scalloped surface profile,Dynamic re-balancing of spindle and bearing replacement.,6.1,"{""vib_ratio"": 3.55, ""power_pct_inc"": 7.3, ""cycle_ratio"": 0.65, ""dim_dev"": 0.206, ""temp_c"": 37.3}"
CASE-008,CNC-06,Dimensional Inspection Failure,Tool Wear,Machine CNC-06: Flank wear and edge chipping causing progressive part enlargement,"Replaced worn tool inserts, verified tool setter calibration.",1.6,"{""vib_ratio"": 2.28, ""power_pct_inc"": 18.2, ""cycle_ratio"": 1.13, ""dim_dev"": 0.352, ""temp_c"": 41.3}"
CASE-009,CNC-03,Dimensional Inspection Failure,Tool Offset Error,Machine CNC-03: Incorrect G43 H-code tool length offset entered manually by operator,Implemented wireless Renishaw tool probe automated length measurement.,0.4,"{""vib_ratio"": 1.08, ""power_pct_inc"": 2.7, ""cycle_ratio"": 0.19, ""dim_dev"": 0.532, ""temp_c"": 37.1}"
CASE-010,CNC-05,Dimensional Inspection Failure,Tool Wear,Machine CNC-05: Flank wear and edge chipping causing progressive part enlargement,"Replaced worn tool inserts, verified tool setter calibration.",1.3,"{""vib_ratio"": 2.28, ""power_pct_inc"": 18.8, ""cycle_ratio"": 1.14, ""dim_dev"": 0.347, ""temp_c"": 43.3}"
